t,min_entry,basis,n,t_star
-0.536144578313253,-3.828360281878926e-05,Cycle,12,-0.5358983848622454
-0.529718875502008,0.0009609267874272281,Cycle,12,-0.5358983848622454
-0.523293172690763,0.0019601371776732453,Cycle,12,-0.5358983848622454
-0.516867469879518,0.002959347567919274,Cycle,12,-0.5358983848622454
-0.510441767068273,0.003958557958165291,Cycle,12,-0.5358983848622454
-0.504016064257028,0.004957768348411308,Cycle,12,-0.5358983848622454
-0.49759036144578306,0.005956978738657325,Cycle,12,-0.5358983848622454
-0.4911646586345382,0.006956189128903332,Cycle,12,-0.5358983848622454
-0.48473895582329307,0.007955399519149371,Cycle,12,-0.5358983848622454
-0.4783132530120482,0.008954609909395377,Cycle,12,-0.5358983848622454
-0.4718875502008031,0.009953820299641406,Cycle,12,-0.5358983848622454
-0.4654618473895582,0.010953030689887412,Cycle,12,-0.5358983848622454
-0.4590361445783131,0.01195224108013345,Cycle,12,-0.5358983848622454
-0.4526104417670682,0.012951451470379459,Cycle,12,-0.5358983848622454
-0.44618473895582333,0.013950661860625452,Cycle,12,-0.5358983848622454
-0.43975903614457823,0.014949872250871493,Cycle,12,-0.5358983848622454
-0.43333333333333335,0.0159490826411175,Cycle,12,-0.5358983848622454
-0.42690763052208824,0.016948293031363536,Cycle,12,-0.5358983848622454
-0.42048192771084336,0.017947503421609532,Cycle,12,-0.5358983848622454
-0.41405622489959826,0.018946713811855573,Cycle,12,-0.5358983848622454
-0.4076305220883534,0.01994592420210158,Cycle,12,-0.5358983848622454
-0.4012048192771085,0.020945134592347585,Cycle,12,-0.5358983848622454
-0.3947791164658634,0.021944344982593626,Cycle,12,-0.5358983848622454
-0.3883534136546185,0.02294355537283962,Cycle,12,-0.5358983848622454
-0.3819277108433734,0.02394276576308566,Cycle,12,-0.5358983848622454
-0.3755020080321285,0.024941976153331664,Cycle,12,-0.5358983848622454
-0.3690763052208834,0.025941186543577705,Cycle,12,-0.5358983848622454
-0.36265060240963853,0.0269403969338237,Cycle,12,-0.5358983848622454
-0.35622489959839343,0.027939607324069738,Cycle,12,-0.5358983848622454
-0.34979919678714855,0.028938817714315748,Cycle,12,-0.5358983848622454
-0.34337349397590367,0.029938028104561754,Cycle,12,-0.5358983848622454
-0.33694779116465856,0.03093723849480778,Cycle,12,-0.5358983848622454
-0.3305220883534137,0.031936448885053786,Cycle,12,-0.5358983848622454
-0.3240963855421686,0.032935659275299824,Cycle,12,-0.5358983848622454
-0.3176706827309237,0.03393486966554583,Cycle,12,-0.5358983848622454
-0.3112449799196786,0.034934080055791863,Cycle,12,-0.5358983848622454
-0.3048192771084337,0.035933290446037866,Cycle,12,-0.5358983848622454
-0.2983935742971886,0.0369325008362839,Cycle,12,-0.5358983848622454
-0.2919678714859437,0.03793171122652991,Cycle,12,-0.5358983848622454
-0.28554216867469884,0.038930921616775915,Cycle,12,-0.5358983848622454
-0.27911646586345373,0.03993013200702195,Cycle,12,-0.5358983848622454
-0.27269076305220885,0.040929342397267955,Cycle,12,-0.5358983848622454
-0.26626506024096375,0.04192855278751399,Cycle,12,-0.5358983848622454
-0.25983935742971886,0.042927763177759995,Cycle,12,-0.5358983848622454
-0.25341365461847376,0.04392697356800603,Cycle,12,-0.5358983848622454
-0.24698795180722888,0.044926183958252035,Cycle,12,-0.5358983848622454
-0.24056224899598377,0.04592539434849807,Cycle,12,-0.5358983848622454
-0.2341365461847389,0.046924604738744075,Cycle,12,-0.5358983848622454
-0.227710843373494,0.047923815128990084,Cycle,12,-0.5358983848622454
-0.2212851405622489,0.048923025519236114,Cycle,12,-0.5358983848622454
-0.21485943775100402,0.049922235909482124,Cycle,12,-0.5358983848622454
-0.20843373493975892,0.05092144629972816,Cycle,12,-0.5358983848622454
-0.20200803212851404,0.051920656689974164,Cycle,12,-0.5358983848622454
-0.19558232931726893,0.0529198670802202,Cycle,12,-0.5358983848622454
-0.18915662650602405,0.053919077470466203,Cycle,12,-0.5358983848622454
-0.18273092369477917,0.0549182878607122,Cycle,12,-0.5358983848622454
-0.17630522088353406,0.05591749825095824,Cycle,12,-0.5358983848622454
-0.16987951807228918,0.056916708641204246,Cycle,12,-0.5358983848622454
-0.16345381526104408,0.05791591903145028,Cycle,12,-0.5358983848622454
-0.1570281124497992,0.058915129421696286,Cycle,12,-0.5358983848622454
-0.1506024096385541,0.05991433981194232,Cycle,12,-0.5358983848622454
-0.1441767068273092,0.060913550202188325,Cycle,12,-0.5358983848622454
-0.1377510040160641,0.06191276059243436,Cycle,12,-0.5358983848622454
-0.13132530120481922,0.06291197098268037,Cycle,12,-0.5358983848622454
-0.12489959839357434,0.06391118137292637,Cycle,12,-0.5358983848622454
-0.11847389558232924,0.06491039176317241,Cycle,12,-0.5358983848622454
-0.11204819277108435,0.06590960215341841,Cycle,12,-0.5358983848622454
-0.10562248995983925,0.06690881254366444,Cycle,12,-0.5358983848622454
-0.09919678714859437,0.06790802293391045,Cycle,12,-0.5358983848622454
-0.09277108433734926,0.06890723332415649,Cycle,12,-0.5358983848622454
-0.08634538152610438,0.0699064437144025,Cycle,12,-0.5358983848622454
-0.07991967871485928,0.07090565410464852,Cycle,12,-0.5358983848622454
-0.0734939759036144,0.07190486449489453,Cycle,12,-0.5358983848622454
-0.06706827309236951,0.07290407488514053,Cycle,12,-0.5358983848622454
-0.06064257028112441,0.07390328527538657,Cycle,12,-0.5358983848622454
-0.054216867469879526,0.07490249566563258,Cycle,12,-0.5358983848622454
-0.04779116465863442,0.0759017060558786,Cycle,12,-0.5358983848622454
-0.04136546184738954,0.07690091644612462,Cycle,12,-0.5358983848622454
-0.034939759036144435,0.07790012683637065,Cycle,12,-0.5358983848622454
-0.028514056224899553,0.07889933722661666,Cycle,12,-0.5358983848622454
-0.02208835341365445,0.0798985476168627,Cycle,12,-0.5358983848622454
-0.015662650602409567,0.0808977580071087,Cycle,12,-0.5358983848622454
-0.009236947791164685,0.0818969683973547,Cycle,12,-0.5358983848622454
-0.0028112449799195804,0.08289617878760074,Cycle,12,-0.5358983848622454
0.0036144578313253017,0.08277127748881997,Cycle,12,-0.5358983848622454
0.010040160642570406,0.08177206709857393,Cycle,12,-0.5358983848622454
0.016465863453815288,0.08077285670832793,Cycle,12,-0.5358983848622454
0.022891566265060392,0.0797736463180819,Cycle,12,-0.5358983848622454
0.029317269076305275,0.0787744359278359,Cycle,12,-0.5358983848622454
0.03574297188755016,0.07777522553758989,Cycle,12,-0.5358983848622454
0.04216867469879526,0.07677601514734385,Cycle,12,-0.5358983848622454
0.04859437751004014,0.07577680475709785,Cycle,12,-0.5358983848622454
0.05502008032128525,0.07477759436685182,Cycle,12,-0.5358983848622454
0.06144578313253013,0.07377838397660581,Cycle,12,-0.5358983848622454
0.06787148594377523,0.07277917358635977,Cycle,12,-0.5358983848622454
0.07429718875502012,0.07177996319611377,Cycle,12,-0.5358983848622454
0.08072289156626522,0.07078075280586772,Cycle,12,-0.5358983848622454
0.0871485943775101,0.06978154241562172,Cycle,12,-0.5358983848622454
0.09357429718875498,0.06878233202537572,Cycle,12,-0.5358983848622454
0.1,0.0677831216351297,Cycle,12,-0.5358983848622454
