n,basis,trace_sum,rate,ci_lower,ci_upper,trials
12,Phase,0.3814485539132648,1.0,0.996173241514445,1.0,1000
12,Phase,0.3875710028928566,0.999,0.9943574414020421,0.9998234536293739,1000
12,Phase,0.3936934518724485,1.0,0.996173241514445,1.0,1000
12,Phase,0.39981590085204033,1.0,0.996173241514445,1.0,1000
12,Phase,0.40593834983163213,1.0,0.996173241514445,1.0,1000
12,Phase,0.412060798811224,1.0,0.996173241514445,1.0,1000
12,Phase,0.41818324779081584,1.0,0.996173241514445,1.0,1000
12,Phase,0.42430569677040764,1.0,0.996173241514445,1.0,1000
12,Phase,0.4304281457499995,1.0,0.996173241514445,1.0,1000
12,Phase,0.43655059472959135,1.0,0.996173241514445,1.0,1000
12,Phase,0.44267304370918314,1.0,0.996173241514445,1.0,1000
12,Phase,0.448795492688775,1.0,0.996173241514445,1.0,1000
12,Phase,0.45491794166836685,1.0,0.996173241514445,1.0,1000
12,Phase,0.46104039064795865,1.0,0.996173241514445,1.0,1000
12,Phase,0.4671628396275505,1.0,0.996173241514445,1.0,1000
12,Phase,0.47328528860714236,1.0,0.996173241514445,1.0,1000
12,Phase,0.47940773758673416,1.0,0.996173241514445,1.0,1000
12,Phase,0.485530186566326,1.0,0.996173241514445,1.0,1000
12,Phase,0.49165263554591787,1.0,0.996173241514445,1.0,1000
12,Phase,0.49777508452550967,1.0,0.996173241514445,1.0,1000
12,Phase,0.5038975335051016,1.0,0.996173241514445,1.0,1000
12,Phase,0.5100199824846934,1.0,0.996173241514445,1.0,1000
12,Phase,0.5161424314642852,1.0,0.996173241514445,1.0,1000
12,Phase,0.5222648804438771,1.0,0.996173241514445,1.0,1000
12,Phase,0.5283873294234689,1.0,0.996173241514445,1.0,1000
12,Phase,0.5345097784030608,1.0,0.996173241514445,1.0,1000
12,Phase,0.5406322273826526,1.0,0.996173241514445,1.0,1000
12,Phase,0.5467546763622444,1.0,0.996173241514445,1.0,1000
12,Phase,0.5528771253418363,1.0,0.996173241514445,1.0,1000
12,Phase,0.5589995743214281,1.0,0.996173241514445,1.0,1000
12,Phase,0.5651220233010199,1.0,0.996173241514445,1.0,1000
12,Phase,0.5712444722806118,1.0,0.996173241514445,1.0,1000
12,Phase,0.5773669212602036,1.0,0.996173241514445,1.0,1000
12,Phase,0.5834893702397954,1.0,0.996173241514445,1.0,1000
12,Phase,0.5896118192193873,1.0,0.996173241514445,1.0,1000
12,Phase,0.5957342681989791,1.0,0.996173241514445,1.0,1000
12,Phase,0.6018567171785709,1.0,0.996173241514445,1.0,1000
12,Phase,0.6079791661581628,1.0,0.996173241514445,1.0,1000
12,Phase,0.6141016151377546,1.0,0.996173241514445,1.0,1000
12,Paley,0.3141016151377546,1.0,0.996173241514445,1.0,1000
12,Paley,0.32022406411734644,1.0,0.996173241514445,1.0,1000
12,Paley,0.32634651309693824,1.0,0.996173241514445,1.0,1000
12,Paley,0.3324689620765301,1.0,0.996173241514445,1.0,1000
12,Paley,0.33859141105612195,1.0,0.996173241514445,1.0,1000
12,Paley,0.34471386003571375,1.0,0.996173241514445,1.0,1000
12,Paley,0.3508363090153056,1.0,0.996173241514445,1.0,1000
12,Paley,0.35695875799489746,1.0,0.996173241514445,1.0,1000
12,Paley,0.3630812069744893,1.0,0.996173241514445,1.0,1000
12,Paley,0.3692036559540811,1.0,0.996173241514445,1.0,1000
12,Paley,0.37532610493367297,1.0,0.996173241514445,1.0,1000
12,Paley,0.3814485539132648,1.0,0.996173241514445,1.0,1000
12,Paley,0.3875710028928566,1.0,0.996173241514445,1.0,1000
12,Paley,0.3936934518724485,1.0,0.996173241514445,1.0,1000
12,Paley,0.39981590085204033,1.0,0.996173241514445,1.0,1000
12,Paley,0.40593834983163213,1.0,0.996173241514445,1.0,1000
12,Paley,0.412060798811224,1.0,0.996173241514445,1.0,1000
12,Paley,0.41818324779081584,1.0,0.996173241514445,1.0,1000
12,Paley,0.42430569677040764,1.0,0.996173241514445,1.0,1000
12,Paley,0.4304281457499995,1.0,0.996173241514445,1.0,1000
12,Paley,0.43655059472959135,1.0,0.996173241514445,1.0,1000
